text,ground_truth_labels
hello all    meri baby girl 6 months  he    abhi teeth aana start hogye h      bhot irritate reheti he    roti he      iske liye koi home remedy ho to please bataiye    jese ki daat aasanise aajaye      aj to raat ko nind me bhot roi      feed bhi nhi le rhi he    bhook lag rhi he usko      to ro rhi he      kya karu       please suggest      ,Que
hi moms        meri beti ko mere feed par hi constipation rehta tha par jab se lactogen start kiya constipation bahut jyada bad gya 10 din me ek baar with very hard stool of black colour          please suggest constipated babies ke liye sabse acha formula milk kaun sa hai        ,Que
my baby is 4months old and i have started formula milk along with breast milk   please suggest when should i give formula milk to her    in night or in day time   my baby awakes whole night    ,Que
urgent  please suggest something that can be done to relieve 2yrs 5 months of churuniya,Que
hello moms    my baby is 2year 8months   now she is suffering so many little skin rashes   now suggest me how can i remove my baby rashes   please suggest me home remedies tips  ,Que
i m a slow eater,NotQue
baby shampoo se nallo,NotQue
thanx every one 4 ur valuable suggetions,NotQue
arey yaar camphor pooja me use kartey hain aarti karney me woh,NotQue
its 43 degree tem in chd,NotQue
right kiran jii mujhe b apne baby ko 1 tym khlne me 1 hr lgta aa hhh even gate ki bell bjwkr b khlya h,NotQue
cherry behl thanks dear,NotQue
sab log aise hi react karte h,NotQue
for baby      zinc drops n its sachets      if needed go for antibiotics,NotQue
mne apni beti ke bi isse hi utrave the,NotQue
shatavri kalp 2 spoon twice a day,NotQue
apply honey to remove acne,NotQue
khud akele pati to dwa dila sakte h,NotQue
daliya  broken wheat,NotQue
mint or coriander idly   beetroot idly   banana idly      ,NotQue
give sugarin small ammount,NotQue
28th oct ya 30th oct,NotQue
raw papaya in dal   masoor ki dal   saboodana   zeera,NotQue
hello moms        meri beti 7 month ki hai     usse viral fever hua hai      medicine de rahi hu      par uska head baut garam hai          gilli patti bhi rakhi hai          thori der ke liye thek rehta hai        and fir se garam ho jata hai           koi aur way hai tho share kijiye            baby for irritate ho rahi hai         ,Que
wawoo meri bhi 153 he abi       22 weeks pe      ,NotQue
yes        3 month tak esa rheta he            thik ho jayega      apne aap,NotQue
hello mommies    suggest best massage oil for 4 months old baby     tia,Que
ha ye normal h dilvry k bd tik ho jyega,NotQue
mustard oil nd water ko mix karke lagaiye,NotQue
devika rajan  its homemade mixture of dals nd some ingredints  i stay in indra nagar,NotQue
eat sagoo dana with milk,NotQue
mera baby v ni pia tha phr 5 dy bad ghr aa k aaganbadi wali pia gyi wo ghum ri thi sb jgh jo baby ni piye the wo pilaa ri thi un sb ko,NotQue
nidhi pandey ha na bhut problem hoti h,NotQue
thank you so much hina    ,NotQue
medical me mil jae ge,NotQue
dr ko dikhaya hai        medicine bhi de rahe hai,NotQue
ginger juice honey mix krk    1spoon,NotQue
debarati dey mukherjee ok,NotQue
nice recipe but i ve never cooked ny fruit in my life so i m nt cmfrtable to cook fruit       gud for those who steamed fruits i only give juices to my baby n i cook only vegetables nt fruit,NotQue
or hum weight increase hone se pareshan hai       ,NotQue
sreemoyee gargee sarkar entirely depends on you or your little one i used sippy cup without strw,NotQue
hing s esa hota hai mene just apne bete ko lagai h vo ro raha tha ab to mujhe bhi dar lag raha hai  ,NotQue
nothing to worry,NotQue
agar aap starting se 34 month tk continuous belt use krengi  to pain nhi hoga  ,NotQue
bt im lucky       mere baby k ye aadat n h,NotQue
agr dekhne dega baby to ja ao     aa k shear krna apna experience ,NotQue
khir bna k kha sakti hu sabu daane ki,NotQue
siva kindly share diet plan with us thnx,NotQue
its cancer causing  stop giving maggi,NotQue
ye baby girl hi hai,NotQue
thanku           piya gupta bansal,NotQue
no give marrie gold biscuits,NotQue
same with me also,NotQue
balchaturbhadrika     ayurvedic syrup h wo dijiye teething m koi problem nhi hogi,NotQue
congratulations dr    light home made food not rich at all  ,NotQue
no worry its normal nly    ,NotQue
muje 6mm stone size    2 days back malum hua,NotQue
koi nahe ap soup dejiye  juice try kejiye  ,NotQue
same problem with me         per jb aap usko khilate ho tb khud bhi khaya karo ager koi or hai ghar me use bhi   kyuki bacche kuch bacche akele baith k nahi khate meri girl b esa hi karti hai per jb mai ya koi or uske samne khata hai hai to thoda thoda kha leti hai,NotQue
apply calavaze lotion  my 2 month baby got same    after applying this lotion it gone    ,NotQue
normal       my baby also used to be same   now shez 7th month   totally fine  ,NotQue
2twice a day its wrkng dr  advice me,NotQue
meri beby 11month ka   male  hai,NotQue
very cute baby girl,NotQue
hi mom  anyone suggest me for irregular periods and belly after delivery  i ham having 3yr baby  i want to reduce weight  fir last two months not having period  help me,Que
jeera and daliya,NotQue
this happens cz of applying oil bt its not so serious        ye sab gandagi see ho jati hai    meri beti ko v hogaya tha to meri dadi ne joo nikalne wali comb halke halke hatho see dhire dhire comb karte gae aur ye sab nikal gaya      ,NotQue
meri daughter ka 5 months mein dikha ab,NotQue
weakness agr dhyn nhi doge toh,NotQue
no,Que
candid powder it really works  ,NotQue
apply silverex cream,NotQue
consult dr mere bete ko bhi cold fever hue   medicine dene to thik dobara aa jana fever   dr ke pass 3time ja ke aaye   aaj jab mrng pvt hospital gaye vha test hue sare to blood mein infection aaya  ,NotQue
normally it continues till 40 days     ,NotQue
sab babys ki hoti hai    diaper se bhi khuli rehti hai    ,NotQue
oh thanks dinesh kanika ji,NotQue
shweta tiwary my pleasure     gud,NotQue
he not sitting in potty chairs itdelf,NotQue
aayushi advani ji bilkul 7 june se,NotQue
ap soff ka pannii de,NotQue
nrml   i was vomiting till my delivery  ,NotQue
great dad   lucky baby,NotQue
eid mubarak to all  ajka special sevaiya and sambhariya    stuffed mix veg    sambhariya  stuffed mix veg     recepie take grated coconut  besan    chilly powder   salt   dhaniya powder  lemon juice  garam masala  pinch sugar  haldi   hing   chopped coriender  and mix well and make stuffing    now peal potatoes and cut small slit in between and stuff the above masala  smilarly cut brinjals  onions   okra  garlic  banana and fill syuffing   now heat oil in pan and add potato first let it cook half thn add onions   okra   and other veges  cook all veges fully and serve hot with roti    ,Que
use finger brush,NotQue
arre nhi yr its very normal  choti choti bato ke weham mat kro  bache ki har harkat ko enjoy kro ye din laut k nhi aege,NotQue
 feel free to ask anything dear,NotQue
deen me bhingo kr dhudh me or raat me boil krke     use thanda krke dene se achha rhta hai,NotQue
specially uski pasand ki vegetable okra,NotQue
relax   some babies takes time to come out   intact i delivered in the middle of the 9th month,NotQue
lalit ahuja ashima sunny ahuja,NotQue
starwberry jam    chop strawberry in small pieces add it in pan   cook it in medium flame add sugar and lemon juice one spoon  smash the jam with smasher   after 5 minutes off the stove    let it b cool then keep it air container box         ready starwberry jam,NotQue
mera baby bhi karta h,NotQue
candid cream with rashfree cream mila kar apply karo immediately effect karegi  tried on my baby,NotQue
mera beby 6 month k h uske liye cow milk sahi h ya farmula milk  ,Que
shayad isliye roz meri mil mere bachho ko nehlane ke baad dono ears me fuk maarti hai,NotQue
absolutely right,NotQue
hi mommies    i got soo many pimples and acne scars on my face post pregnancy    pl share some tried and tested remedy to help reduce the scars and pimples    thanks in advance   ,Que
coconut oil me tea tree oil ki kuj drops add karke lagao       jaadu,NotQue
skip potatoes       causes gas in stomach,NotQue
same my beby girl        ,NotQue
richa agarwal ji maine toh ghee hi suna or use kiya h baki ka pata nhi mam ghee hi best h,NotQue
sheetal sharma tnx dear,NotQue
calamine lotion lagao same mere baby ko b hua tha,NotQue
fir to enjoy karo,NotQue
https  youtu  bebicl6zrxe1w,NotQue
hi me jab nippal ko press krti hu to bm 45 drops hi aata he lekin bebyy suck krta he fir bad me nippal ko   press kru to dhar niklti he to bm brabar he ki nai,Que
harad ko pani me ghis kr ek spoon pani mein mila kr regular pilao,NotQue
same problem me to,NotQue
yes my cousin also having baby girl now,NotQue
starting of 9th month till the due date  ghee n banana,NotQue
mera larka v       same problem,NotQue
13 months for me,NotQue
baby ko boga hona ka liya kiya logau  ma seba product use korta hau,Que
its normal   i had vomits till the day i delivered my son   ,NotQue
ye thik ho ra h selver x or alsi ka oil 5 se 6 bar apply kare thik ho jayega or high protein diet  i m burn ward staff,NotQue
mere betu ko bhi same problem tha nahate samay hair wash krte tym soft comb se nikl gaya,NotQue
mere baby 2 month ka hai            uska bohot ulti ho rha h         kuch problem to ni  ,Que
healthy veg oats idli  recepie soak 12 cup oats powder n 12cup rawa in curd 2tbsp  and water  thn rest for 12 hr   thn add salt roasted 1 sp urdad dal mustard seeds hing chopped curry patta chopped carrots peas in oats mixture   add eno while steaming idli   steam 1012 mints   serve hot with coconut chutney  yummy tasty n healthy idli ready  ,Que
consult doctor give him some iron syrup,NotQue
hi       my baby 10months old     he s not sitting without support    ,Que
colgate toothpaste lagao jaha burn huya h      fast recovery hogi  ,NotQue
meri elder sister ka v hua hai,NotQue
use pure herbal toner and serum  www  pureherbal  co  in,NotQue
water s gud fr baby so u cn gv boiled water,NotQue
right yr ese hi krte h sbi,NotQue
tuesday tk check krti hu         confirm hone pr medicine kha skti hu       its safe or not     ,NotQue
jab beti hoti hai tho normally vomiting 9 months rheti hai its vry normal,NotQue
hi feeding bdhane ke liye konsa   powder acha aata he,Que
dalia  khichdi  suji halwa  check google,NotQue
ache baat hai mere mother in law kehte hai that means baby ke mama rich honge aur naa rooe toh mama gareeb honge something like that,NotQue
mera grandson six days ka ha wo urine pass nahi kar raha ha,Que
saturday n sunday ko bina toke subah jb chodu na lagi ho 7 bar baegan ko touch karna aur chup chap chat pr ya aaesi jagah dalna jaha bo pure sahi se sukh jaye,NotQue
f  me to nhi krti face pr use,NotQue
jaya aviral mishra ok,NotQue
yashu and bhavya,NotQue
tanu kamal sharma gharwalo ki bato pe jyada dhyan denge to harm hamare bachey ko hi hoga        aap sirf doctor ki hi advice ko maniye or doctor ne starting ki fm ki quantity batayi hogi or unhone agey ye mention nhi kiya hoga ki har month ya in every 2 month me 30 ml badha k dena h,NotQue
h momies   meri beti ki malish karte waqt kalai ki nash chad gai to kuch home remedies share kariyee jis se use jaldi relife mil jaye,Que
pandram plus lgao,NotQue
i got after 3 months,NotQue
gungun        tuktuk,NotQue
not in every case,NotQue
its normal      aisa pain towards delivery hoga aapko        due date tak badhega,NotQue
same problem with me    but abhi nhi badhega jldi    bchhe bade hote hi thoda relax hone ke baad    kids 5yr ka hoga apne aap tension kum ho jayega aur weight gain hoga    m facing thz ryt nw,NotQue
our kids enjoying in swimming pool  benefits of swimming,Que
mehi  pinchi  pinchu    ,NotQue
orally with bm or little fm mix and give it,NotQue
    nbsp  ,NotQue
gralic milk and drink more water,NotQue
coconut oil for summers n figaro olive oil for winters,NotQue
5 month se phena skte ho      nd alg dhage main        wo usse ke sath milta hai,NotQue
pure sarso v thik h and figaro ka oliv oil v perfect h,NotQue
no problem sister he feel well sleeping comfortable in this position,NotQue
garlic green papaya fenugreek milk products,NotQue
kids learn sizes   colours and shapes while putting these knobbed pieces back in the cavities  excellent for hand and eye coordination and concept of sizes   ,Que
use candid powder for now nd 2morrow consult d dr,NotQue
http  hindi  babydestination  comtilasmimotiaapkebache,Que
silver x best for burn  its jel,NotQue
yes or give colic drops twice a day inshallah masla ni rhy ga,NotQue
silverex lagao        bht thanda hota he       baby ko pta b nhi chalega      ,NotQue
apply almond oil    its very lite n giv strength to brain n hair both      apply oil at nite,NotQue
helli,Que
2 years       till then use only finger brush        ,NotQue
dnt worry everything wl be alrght        god bless      ,NotQue
ye weight normal hai   ya underweight hai         ,NotQue
wash the parboiled rice dry roast       add ajwain pinch     make a fine powder  boil 1cup water add 1table spoon rice powder strill well with out lumps     add jaggery if u want sweet taste     ,NotQue
yes i got this problem,NotQue
scarbis bhi ho sakta hai    inke clothes alag wash karna and tez hot water mein dettol dal k thodhi der chod dena    ,NotQue
in this case follow your doctor instructions only,NotQue
dairy se hi le aao     wo dedenge thoda sa,NotQue
hi my beby 1month ka hai wo jub bhi gas pass karti hai saath mai thodi poty bhi karti hai its normal,Que
drink honey with milk,NotQue
1 nd half year ke bad       i started pediasure only  ,NotQue
harsha trivedi thnks dear,NotQue
better to with out pillow or very thin size pillow,NotQue
border me he   but underweight nahi he       banana   ragi   rice   ghee   butter   khilawo,NotQue
almost one n half yr passed   now i feel leg pain  ,NotQue
doremon   chotabhem   nobitha   ben10,NotQue
oye vo chhote bche h yar,NotQue
polysistic ovarian disease,NotQue
according to chinese calendar its baby boy        ,NotQue
sarso ka oil   lagyo aram se karega bina roye,NotQue
thanks to everyone,NotQue
reena sharma yes bilkul,NotQue
home remedies for baby body hair rmv,Que
apply b4 nappy cream use before nappy,NotQue
3 and more years,NotQue
oh my god take care of ur child,NotQue
apply banana peel v effective remedy,NotQue
milk and hy protins daliya,NotQue
same mere baby ko bhi nhi aae,NotQue
my air my baby was only 22 days old,NotQue
first day of swimming       first she was shewering      but after some tym she enjoyd      wid her dadaaa        ,Que
i agree wit priyanka palanisamy,NotQue
i too giv dis to my daughter   its really good,NotQue
calcium ke kami se,NotQue
its not my report dear        i asked u    out of curiosity,NotQue
water from 6 months,NotQue
only breastfeed no water till 6 months,NotQue
use catephill lotion after bath in dry area    ,NotQue
soak sabudhana and boil and give it,NotQue
quite uncomfortable ,NotQue
only in mouth      ,NotQue
after 3day kha lo bs thoda mna isliye krte h heavy khane ko k fat bdta h   ap sb khao but thoda thoda,NotQue
something allergic,NotQue
bcoz    hmmm mother phele baby ko kuch khilati h    than we take food      itne me baby ka presar bn jata h      ,NotQue
but 2 years mai log kehtey h,NotQue
ap baby ko hlke grm pani m janam ghutti de dijiy,NotQue
but in small amount and mix and grind,NotQue
meri to normal delivery h fir b baby ko uthana to dur chlne m b halt khrab ho jati thi dr ne calcium diya tb se bhut aaram h ab phle jesi ho gyiaap chaho to m meri medicines ka nam bta du aap b lelena ya apni dr ko dikha lo,NotQue
mam go fr vit d3 injection with ur doctors consultation n gv him calcium sachet once a week  ur doc wl suggest u  my son had same now ol set ol gud,NotQue
morning sickness and mood swings,NotQue
aisehi puchungi to koi hasega ye soch kr  pucha nahi                    ,NotQue
band ad lagao waha or baby ko bolo dawai lagayi he ek hi din me effect karega ye mene bhi aise hi chudvaya tha 2 yr 2 month tak feed karvaya tha mene kisi bhi tarike se nahi choda but last ye option work kiya tha aap bhi try kariye hopefully ho jaye success,NotQue
thanks all        i know its colic but doctor said they wont suggest anything    let him cry,NotQue
dear thanks but mere bm aya he nhi tha    first day se baby fm pe h,NotQue
hi friends my 21 days baby girl having pimples on face   3 days not going,Que
saniya dahiwala it helps in teething and gud source of calcium,NotQue
so far ive been doing all the work    its tedious    ,NotQue
same as my daughter,NotQue
fm ko hum kitnne time rakh sakte hai      ,NotQue
kacha papita ka sabji,NotQue
yess         deepti joshi n neha dave,NotQue
ek hi din mein sab kuch doge to roegaa hi     day by day nayi cheez introduce krao      ,NotQue
pure coconut oil,NotQue
yes meri beti bhi addict ho gai islie vo or kuchh khati bhi nai he   ,NotQue
gripe water mat dijiye  gas ka problem to pani jayda pilaeye  akbar me jayda khana na dijiye  thoda thoda karke barbar khilaeye  thik ho jayega  pani jayda pina bohot jaruri hai,NotQue
if fever 98 or more give meftal syrup 2  5 ml  insha allah fever jayga  ,NotQue
put mustard oil drops in the navel    ,NotQue
bacho ko kabhi nhi dena chahiye        maine to puri pregnancy and feeding time period tak tea and coffee piya hi nhi tha      its very harmful for baby and kides            kides k kidney me effect krta h,NotQue
use neem power for bath,NotQue
hii mom delevry ke baad se mere bhut weakness aagyee hai or hath ke talve kaan sir aaj kal garam rahta hai   thoda sa bhi kaam krte hai thakaan ho jaati h  ,Que
hmm      tar por uni suggest korlen m  b  b  s k dekhanor jonnoy  ,NotQue
but after wards gaining also,NotQue
thrombphob gel lagaiye    jaha inject kiya waha nhi uske charo taraf round karke    relief milegi,NotQue
consult to doctor          coz apka miscarriage hua hai phlea iss vajha se b positive aa raha ho sakta hai            mere case mein ese tha            otherwise blood test se b pregnanny jaldi confirm ho sakti hai,NotQue
http  www  who  intnewsroomfactsheetsdetailnipahvirus,NotQue
mam mene to jungle formula shemppo v ise kiya h btt koi result nhi aaya,NotQue
boy baby of 6months  from bangalore  varthur,NotQue
piya suman means      ,NotQue
maira baby 16 months ka hai   kal se kuchh nahi kha raha hai na milk pi raha hai sirf feeding kar raha hai,Que
take liquit more        n give some honey,NotQue
only heard    not using yet,NotQue
most probably 30    35 tak kar sakte ho    but complications and extra check up hota hai,NotQue
milk and daliya      cumine seeds more and masoor ki daal,NotQue
shabnoor ansari mere bby ko bhi gums me itching thi bas or kuchh nhi,NotQue
six month baad i mean deani hori hai bacho ko,NotQue
apply turmeric paste nd rub while giving bath,NotQue
nitya meri beti ka nam h,NotQue
vo aise khelte h       mera beta bhi bht krta h aisa     but i m not pregnant,NotQue
cold aur cough ki time baby ko apple dena sahi ya nehi  apple and cough  s time baby to apple it right or not    rate this translation,Que
dekho bacche ek bar me jyada feed nhi kr pate hai aur unhe bhuk b lgti hai bar bar har aadhe ghante me aap feed krao doc ne mujhe b suggest kiya tha,NotQue
garm se hogaya hai shayd isse,NotQue
my baby also same    ,NotQue
for kid or adult  ,NotQue
candid powder      its d best,NotQue
m with my mom in law,NotQue
no    after six   ,NotQue
aparajita das thankuuu,NotQue
soak raisins over night and drink that water in morning,NotQue
consult ur doc for giving iron supplement i  e   tonoferone drops,NotQue
put 12 drops in eye 23 times a day,NotQue
apply himalaya baby rash cream    ,NotQue
no its normal even my son sleeps in this position oftenly,NotQue
green potty normal ma,NotQue
roz utarte he       fir bhi sham ko 8 baje ke karib roti hi he,NotQue
jitna baby active hoga utna normal delivery k chance rahenge,NotQue
thank you sheetal  deva  ,NotQue
apne calcium liya tha,NotQue
yaah its the right process to  make ragi malt,NotQue
oil lgakr halke hatho se upar ki traf comb kijiye dhire dhire nikal jayega,NotQue
avira  gauranshi,NotQue
same was wd my son   its normal,NotQue
rai namak se 7 baar ya 11 baar ya 21 baar utare bacche ke upper se aur bahar ya nali mai dal de,NotQue
congratulations take rest  stick to healthy foods,NotQue
hi friends nan papu 8 months boy baby ge thumba kemmu doctor gu thorusidini kemmu kammi agila yenu madodu,Que
yes tem   jyada low nahi kare,NotQue
ha go ki chinta hoa kanna kichu tei bondho kora jai nah tao colic aid ta help kore khub   ha doi doi bomi,NotQue
pani thoda thoda doo garmi padrahi  kyoki  nhi too bache ko susu m jalan hogii  or chota mithi ka bartn hota h uska pani doo,NotQue
6 mnths ad mele nir kodbeku,NotQue
i had after 1 month of my delivery and having it regularly since then,NotQue
its normal but for precautions prega kit sai check karte rehna   kyuki ds timing pregnancy ke chance jiada rehte hai,NotQue
rinse ur hair in dettol after hair wash,NotQue
mee mee glass bottle i m also use,NotQue
pani jada pina koi bimari hai kaya  ,NotQue
mene to jada logo ko weght k karan ye prob hoti dekhi h,NotQue
apply oil as well,NotQue
ha de sakte h  ak bar dr   se v consult kar lo aap,NotQue
use jayada kare to koi problem to nhi na,NotQue
yes i m doing regular for my daughter they love it,NotQue
mera 5 month ka baby ha ma osay watermelon khila sakty hun  ,Que
ap scalp shampoo use kijiye mai apni betiyon ke liye isi shampoo ka use karti hu,NotQue
try to massage baby with little warm oil,NotQue
center se thoda aage    maathe forehead ke pass,NotQue
give him food rich in carbohydrates and fats,NotQue
gunnu or ladoo    ,NotQue
mera baby 11 month ka h uska weith 7  8 h ky normal h,NotQue
https  www  mylittlemoppet  comsathumaavupowderfor      ,NotQue
otrivin pediatrician,NotQue
i m giving mango,NotQue
apply hing on babys nabi,NotQue
water khoob de  potty soft rahegi     starting mai dal ka pani rice ka pani,NotQue
nevlon baby lotion ki ek hlki si layer lgao,NotQue
positive       congrass,NotQue
really its true ,NotQue
if u keep using shampoos so often he might get grey hairs at very early stage of life,NotQue
kounse month me dena chahiye baby ko,NotQue
hai all           h to reduce wheezing for 4years baby boy  ,Que
hi mommies       anyone giving heinz baby snack products to ur babies   if yes   kindly give ur valuable reviews,Que
neha dave ha shi keh rhe ho aap bus hm nhi use karte mere husband to discharge bahar kr dete h best option ,NotQue
same here  dard vara dasta,NotQue
https  youtu  be7gkrrnmsjo,NotQue
yes its wrong      ,NotQue
milk  banana combinations like milk shake if feed together     both of them tries to slow down the digestion process         stomach upset hota hai         esp not on regular basis       its the ayurvedic fact      ,NotQue
very nice keep doing more,NotQue
yes i agree with u      ,NotQue
karmashree dhiren patel thank you,NotQue
my kid doing art and craft in summers,Que
maine aapne dono bcho ko after 6 minutes dal dliya kichdi diya h,NotQue
unhone kafi sari homeopathy medicine bhi li h but koi effect nhi,NotQue
kismis   gur   khajoor   beetjuice   anaar   jitna jyada ho diet me le aur instant badhane k liye subah saam beetjuice aankhkaannaak sab band kar k piney se kisi aur chiz ki zarurat nhi paregi,NotQue
yaaa definitely          ,NotQue
its normal     got my period after 3  5 month   c sec  ,NotQue
balm lgwa lo hubby se ache se aur so jao          ,NotQue
apply warm desi ghee every 2 hours       ull c difference immediately      same situation hpnd wid me too,NotQue
yes its softer side in very small pcs,NotQue
after consulting with paediatrician,NotQue
monika pankaj tola jyada potty krta tha har bar,NotQue
of course   better be safe than sorry,NotQue
big applause who wrote this and understand the prob so deeply     ,NotQue
need more options for breakfast lunch snacks and dinner options veg for 13 months old,Que
moong dal cheela,NotQue
kulfe ki daal   means,NotQue
mugli ghutti 555,NotQue
or baby ko bhi lga skte ha      or gachiii atti ha yellow colour ki vo summers me bhi achi ha jise sb multani mitti bolte ha face pr bhi use hoti ha only adults not for babies,NotQue
hii      home remedy for loose motion for 5  5 month old    ,Que
yes bahut jyada pain hota hai,NotQue
kabi khila sakte hai  ,NotQue
gve colicaid         its very safe,NotQue
kindly suggest baby body lotion for 2 yrs old boy  thanks,Que
its sign of labor,NotQue
use coconut oil mix with alovera jel   m using    i also 8 month pregnent    i feel so much relief   ,NotQue
apply castor oil in naval,NotQue
used in period time,NotQue
milk and biscuits,NotQue
god bless you dear be strong,NotQue
congratulations dear take care both of you,NotQue
but yeh body mein heat produce nahi karega cos mere baby k body mein hear bahut hai,NotQue
boils on bottom of toddler,Que
tq himalaya powder bought it,NotQue
koi side effects  ,NotQue
dhire dhrie ek ek feed drop karo no jayega     kuch apply karke ya kuch galat bolke baby ko emotions ke sath khelo maat    ,NotQue
yes its vry necessary     isse baby ka head strong bnta h    ,NotQue
wow hats off to ds man   so much respect ,NotQue
give him gripe water or sauf ka pani    put nasal drop     ,NotQue
fresh white butter,NotQue
red meat  goat mutton  ,NotQue
start with one fruit or vegetable and introduce another one after 45 days   as babies takes time to develop the taste of one food at a time  ,NotQue
kaam tuo krna mat ek bar kr diya na tuo fas jaogay,NotQue
its normal dear,NotQue
jyoti sohandha just take hing powder       mix with warm water,NotQue
hahahaha haan bahut acha option hai ,NotQue
while breastfeeding periods kisiko jaldi hota hai kisiko late se        ye normal hai      bt still take cre,NotQue
summer mai bi dry fruit de skhta h hum baby ko,NotQue
meri beti bhi 3 month ki ho gae h    mere bhi period abhi tk nhi aye hai    ,NotQue
km ho jayega aap baby ko bm karwati rhe 1  5 yrs baad khud hi km ho jayega,NotQue
yes give for 2 days completely otherwise it vl come bk           its 2 days dose,NotQue
anju vineesh ji ha touchwood kuch to lag raha hai difference,NotQue
abhi only water dijiye thoda thoda,NotQue
plus 1 for luvlap,NotQue
above 5 kg small size,NotQue
